Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_prep_no_IS_Neg_0uL,Luca140818_lipid_Neg_co_culture_1,Luca140818_lipid_Neg_co_culture_3,Luca140818_lipid_Neg_co_culture_4,Luca140818_lipid_Neg_co_culture_5,Luca140818_lipid_Neg_hela_1,Luca140818_lipid_Neg_hela_2,Luca140818_lipid_Neg_hela_3,Luca140818_lipid_Neg_hela_4,Luca140818_lipid_Neg_hela_5,Luca140818_lipid_Neg_nih_1,Luca140818_lipid_Neg_nih_2,Luca140818_lipid_Neg_nih_3,Luca140818_lipid_Neg_nih_4,Luca140818_lipid_Neg_nih_5
5099,10.477,508.4744,Cer 32:1;O2|Cer 18:1;O2/14:0,[M-H]-,adduct linked to 5487_[M+Cl]-; adduct linked to 5750_[M+CH3COO]-; similar chromatogram in higher mz_5774; similar chromatogram in higher mz_7727; similar chromatogram in higher mz_12630; found in higher mz's MsMs_5750,0.933,True,8.95,508.47351,C32H63NO3,Cer_NS,ZKRPGPZHULJLKJ-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98.2,53,72.4,100,15857.94,Luca140818_lipid_Neg_hela_5,508.4744:4610446 509.47775:1052367 510.48111:0,57.03394:4836 59.01345:4302 69.03423:8396 80.02629:3653 95.04958:2860 207.17595:3912 209.19016:171083 225.22266:28766 226.21625:65878 227.20056:40494 228.50842:6732 235.20837:23209 237.22226:156448 238.21637:10255 240.23068:3026 250.25223:3340 252.23148:341381 253.2527:11095 254.24921:22686 255.23251:17635 263.23633:42426 266.22223:2601 266.24658:23453 268.22751:40179 268.26501:9709 280.26266:136584 296.25882:19328 331.36908:2274 460.45618:42555 476.44446:24775 478.46384:32980 508.47247:23347,23359,1369948,785848,1667991,397142,1160790,1682075,1273830,1474778,4610446,229008,240445,184216,339611,291712
5750,10.477,568.48889,Cer 32:1;O2|Cer 18:1;O2/14:0,[M+CH3COO]-,adduct linked to 5099_[M-H]-; adduct linked to 5487_[M+Cl]-,0.933,True,8.95,568.49463,C32H63NO3,Cer_NS,ZKRPGPZHULJLKJ-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98.2,39.5,82.5,100,92296.74,Luca140818_lipid_Neg_hela_3,568.48993:9081766 569.49328:4339379 570.49664:0,59.01353:64177 60.629:1782 89.04179:2710 104.40166:1933 134.39914:2004 139.21217:1654 156.96698:1794 175.37689:2040 184.29153:2063 193.6452:2597 206.41164:2028 209.18881:14489 225.2224:2473 226.21626:7721 227.20047:3940 228.42329:4241 235.20789:3722 237.22208:17198 252.23166:38504 253.13046:2219 263.23605:4191 268.22754:2865 280.26254:14975 385.86295:2179 417.98233:2743 418.9729:7725 419.97516:4112 460.4549:2570 476.44391:3809 478.46246:4690 478.92935:3006 478.98898:2651 508.47122:10681 568.01013:21546,22217,6059224,5260172,8554441,5747872,7293191,8991001,9081766,6438727,19597202,3448155,2915421,3788691,3435155,2531328
5276,10.894,522.48724,Cer 33:1;O2|Cer 17:1;O2/16:0,[M-H]-,ion correlated with 5657; ion correlated with 6010; adduct linked to 5969_[M+Hac-H]-; adduct linked to 5971_[M+Hac-H]-; found in higher mz's MsMs_5969,0.333,True,9.12,522.4892,C33H65NO3,Cer_NS,KXVLPPCAUYSNGY-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCC)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,97.6,55.7,68.7,100,4608.29,Luca140818_lipid_Neg_hela_5,522.48724:3391477 523.49059:1779094 524.49395:0,57.03394:11996 69.03423:9118 80.02629:4429 89.04265:16987 95.04958:2610 97.95411:6211 122.47621:2154 221.18999:3495 223.20677:150081 225.22237:2666 227.32715:3532 235.20786:4484 236.23761:3102 237.22205:184489 239.23788:3471 240.23421:8512 241.21544:8448 249.22261:52305 252.23151:27916 253.25279:28426 254.24937:89738 255.23318:46477 263.24005:3163 266.24652:48150 280.26257:434114 281.21277:2451 282.24432:3018 294.27661:3172 296.25888:46111 297.87631:2217 340.9787:12357 341.98343:20871 342.97604:10143 416.0036:4400 432.03235:10790 474.46689:39365 490.46622:23661 492.48029:36528 522.0816:4687 522.48987:18384,16634,0,0,416865,0,0,563678,300030,583194,3391477,0,0,0,0,0
5450,11.616,538.51904,Cer 34:0;O2|Cer 18:0;O2/16:0,[M-H]-,ion correlated with 6292; ion correlated with 5803; ion correlated with 12591; ion correlated with 12590; adduct linked to 6255_[M+CH3COO]-; found in higher mz's MsMs_6255,0.6,True,9.97,538.52051,C34H69NO3,Cer_NDS,GCGTXOVNNFGTPQ-UHFFFAOYSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98,65.8,72,100,16832.27,Luca140818_lipid_Neg_hela_5,538.51904:4096660 539.52239:2155629 540.52575:483251,57.03407:18690 69.24853:3023 83.05003:2783 104.77383:2200 235.20442:9473 237.22214:298374 237.45103:2440 239.23792:166870 250.25597:2490 252.26936:2968 253.25258:54636 254.2495:53069 255.23277:112996 266.24283:7197 268.26559:26100 278.24866:3495 280.26254:794419 281.21277:5048 282.28027:3178 296.25922:86960 298.27164:3703 300.28989:13546 308.29379:2506 463.48721:2349 490.49692:164569 506.49753:111924 538.52557:82085,33410,254807,314914,311556,217258,525145,874591,774333,985759,4096660,166856,0,0,0,0
6255,11.621,598.5379,Cer 34:0;O2|Cer 18:0;O2/16:0,[M+CH3COO]-,adduct linked to 5450_[M-H]-,0.667,True,9.97,598.54163,C34H69NO3,Cer_NDS,GCGTXOVNNFGTPQ-UHFFFAOYSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,97.8,55.4,86.6,100,98810.33,Luca140818_lipid_Neg_hela_2,598.53912:7095976 599.54247:3489618 600.54583:0,59.0135:128832 61.77369:2245 61.98794:38818 89.04255:51835 90.04137:7378 91.03896:14886 97.95412:4849 124.28553:1959 142.89642:2274 157.33507:1903 200.19902:1960 237.22212:37258 239.23787:22325 253.25276:2488 254.24953:4391 255.23264:15122 280.26233:105103 290.1839:2123 296.25925:12659 300.28998:3009 314.40552:2034 342.98215:2689 416.00369:3105 416.9953:11276 417.99857:12189 419.00546:2803 490.49554:27340 506.49918:18305 508.04739:10865 509.0481:4521 538.51562:39619 598.12091:2227 598.87079:11501,47570,4062598,4142411,5548386,4428344,7038755,7095976,8036020,8446990,24988584,248437,594286,203816,448803,174746
5435,11.309,536.50378,Cer 34:1;O2|Cer 18:1;O2/16:0,[M-H]-,adduct linked to 5785_[M+Cl]-; adduct linked to 6212_[M+CH3COO]-; found in higher mz's MsMs_6212; similar chromatogram in higher mz_15249; similar chromatogram in higher mz_15250; similar chromatogram in higher mz_15546; similar chromatogram in higher mz_15548,0.933,True,9.38,536.50482,C34H67NO3,Cer_NS,YDNKGFDKKRUKPY-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,97,53.6,66.1,100,269018.84,Luca140818_lipid_Neg_nih_4,536.50476:11784141 537.50811:7018702 538.51147:0,57.034:27291 69.03426:18778 80.02628:5237 83.0493:3732 89.04256:11342 95.04957:7842 225.22234:4407 235.20784:21479 237.22229:717489 239.2377:16966 250.2522:10175 253.25252:73708 254.2495:208900 255.23296:125308 263.23615:126908 266.24689:71358 266.96533:7914 268.26523:30127 268.94095:117303 278.24863:4308 280.2627:1084664 281.21274:12481 294.24316:15378 296.2399:7214 296.25925:112202 488.48447:99395 504.48172:51141 506.49774:78394 536.50427:55756 536.91779:78875,55284,19097936,16321105,23389692,20038302,15310777,16944000,16446601,18450550,55343816,12004191,13674329,12877437,11784141,10972611
6212,11.31,596.52057,Cer 34:1;O2|Cer 18:1;O2/16:0,[M+CH3COO]-,adduct linked to 5435_[M-H]-,0.933,True,9.38,596.52588,C34H67NO3,Cer_NS,YDNKGFDKKRUKPY-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,96.2,97.2,60.1,61.2,100,1219153.12,Luca140818_lipid_Neg_hela_5,596.52057:282323744 597.52392:144052288 598.52728:36053452,56.33051:1665 59.01357:26343 66.78162:2169 67.18876:1795 69.24689:1997 89.04257:4841 100.395:1879 171.6423:1863 237.22264:14932 254.24565:2067 255.23283:2955 263.23602:2815 280.263:20657 296.25922:4163 488.47366:2116 498.45392:2329 536.50519:4687,283951,102988688,78511712,112884552,95446488,75589480,90482664,83518448,93965560,282323744,54104400,62463100,60513476,63614532,47816828
5607,10.947,552.49841,Cer 34:1;O3|Cer 18:1;O2/16:0(2OH),[M-H]-,ion correlated with 6010; ion correlated with 6412; adduct linked to 6021_[M+Cl]-,0.467,True,9.07,552.49969,C34H67NO4,Cer_AS,YWZGQPJRQXHVQX-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)C(O)CCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,97.3,48.8,64.9,100,4344.31,Luca140818_lipid_Neg_hela_5,552.49841:2218209 553.50176:0 554.50512:0,56.29004:1955 69.24854:2788 85.84193:1733 133.65303:1890 156.91103:1936 202.8526:2118 225.22229:45341 237.22218:12925 239.23792:3877 250.256:2879 253.21938:13634 263.23602:2608 266.24698:8738 270.24289:4135 271.22733:10243 278.24869:2316 280.26254:2010 296.25906:19137 312.254:11270 333.13828:1948 504.48212:7527 552.4931:13668,62631,178014,244897,0,211767,280519,399638,0,0,2218209,198590,0,216923,0,0
6136,10.565,594.50934,Cer 34:2;O2|Cer 18:2;O2/16:0,[M+CH3COO]-,adduct linked to 5420_[M-H]-; adduct linked to 5761_[M+Cl]-; similar chromatogram in higher mz_6967,0.533,True,8.95,594.51031,C34H65NO3,Cer_NS,GMWIWVUTMCBDSP-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCC=CCCCCCCCCC)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98,60.7,72.9,100,91855.29,Luca140818_lipid_Neg_hela_5,594.50934:9506223 595.51269:4235684 596.51605:0,52.32415:2043 54.1833:2117 59.01352:77387 59.14869:1698 65.81501:1868 89.04255:39156 89.39586:2118 90.04135:2700 97.95319:7079 111.87784:2025 194.33966:2185 198.62061:1790 235.20782:18343 237.22214:23391 253.25272:2591 254.2495:13264 255.23283:9724 261.22229:11022 264.23126:2838 280.26254:72893 296.25922:9696 341.98419:4043 434.67621:2129 486.46271:3704 504.48212:3849 534.48322:16049 594.11761:2358,0,8018831,5483880,9396434,6117278,3574461,5140070,7070782,6050416,9506223,3739861,4723346,4913701,4243837,4962603
5581,10.23,550.48499,Cer 34:2;O3|Cer 18:2;O2/16:0(2OH),[M-H]-,adduct linked to 6359_[M+Hac-H]-; found in higher mz's MsMs_6359; adduct linked to 6013_[M+Cl]-,0.4,True,8.83,550.48407,C34H65NO4,Cer_AS,BGCIWBMYVKHZNX-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCC=CCCCCCCCCC)C(O)CCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98.5,38.5,57.7,100,2898.63,Luca140818_lipid_Neg_hela_5,550.48499:1419600 551.48834:547674 552.4917:0,53.50765:1748 56.40879:1759 67.39084:1755 78.95821:1978 114.72924:1976 115.39414:2085 154.91322:1918 167.66473:1865 189.71652:1778 200.37912:1693 212.62666:2025 219.57954:1981 223.20676:1966 225.22224:60865 235.2076:13681 237.22218:3264 248.24065:3566 253.21793:17838 264.23126:8369 270.24289:3849 271.22733:7740 278.24869:4634 296.2587:31977 302.34866:2140 312.254:11809 314.26807:2228 402.92908:2075 502.46774:9420 513.38928:2284 550.47986:11320 550.97015:2721,20903,110832,190455,254198,250887,169200,227412,255283,250081,1419600,0,0,0,0,0
6393,12.061,612.55481,Cer 35:0;O2|Cer 18:0;O2/17:0,[M+CH3COO]-,ion correlated with 16863; ion correlated with 16990; ion correlated with 6510; adduct linked to 5608_[M-H]-; similar chromatogram in higher mz_13537,0.133,True,10.77,612.55719,C35H71NO3,Cer_NDS,QZDZZVCCCYWHDN-UHFFFAOYSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98.7,68.8,83.9,100,1996.46,Luca140818_lipid_Neg_hela_5,612.55481:1946694 613.55816:313069 614.56152:0,52.927:2381 59.01354:30569 61.98796:14803 69.24689:2194 107.31846:2255 124.46312:2077 160.76106:1963 172.59964:1877 251.23891:5023 294.27618:15237 297.84219:2287 310.27481:3466 334.23672:2119 504.51434:3208 520.51251:2345 552.53131:10723,149375,0,0,0,0,0,0,0,196194,1946694,0,0,0,0,0
5582,11.705,550.521,Cer 35:1;O2|Cer 18:1;O2/17:0,[M-H]-,ion correlated with 5797; ion correlated with 7601; ion correlated with 5430; ion correlated with 12879; ion correlated with 6047; ion correlated with 6401; adduct linked to 6361_[M+Hac-H]-; found in higher mz's MsMs_6361,0.2,True,10.14,550.52051,C35H69NO3,Cer_NS,ICWGMOFDULMCFL-UHFFFAOYSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,98.1,55,71.9,100,2563.09,Luca140818_lipid_Neg_hela_5,550.521:2422313 551.52435:742242 552.52771:0,57.03394:4744 69.03424:1980 74.32679:2142 120.35348:1914 122.42995:1882 185.33286:2342 191.82318:1914 212.87683:2053 223.20667:13736 225.80696:1833 227.78949:3055 237.22218:62706 249.22287:4471 251.23851:81099 263.23944:25365 265.25302:17852 266.24942:13747 267.26764:10209 268.26468:39772 269.24603:21008 280.26251:11770 282.2803:8073 294.27628:194296 295.22693:2282 308.29309:41155 310.27563:20423 322.30814:2064 324.28745:3980 335.44543:2045 344.96671:2690 402.92908:2432 502.5022:22839 518.4892:15006 520.51172:19354 550.5166:10399,27808,176656,0,0,0,0,0,145245,193853,2422313,0,0,0,197071,0
6501,12.436,626.56958,Cer 36:0;O2|Cer 18:0;O2/18:0,[M+CH3COO]-,similar chromatogram in higher mz_12415,0.733,True,11.31,626.57288,C36H73NO3,Cer_NDS,KZTJQXAANJHSCE-UHFFFAOYSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,100,99,72.2,86.7,100,16906.26,Luca140818_lipid_Neg_hela_5,626.56958:8475802 627.57293:4591204 628.57629:730768,52.91495:1905 59.01353:61465 60.60751:1800 61.988:22001 68.53539:4468 68.53861:3664 103.63195:1946 138.07109:1824 239.23792:7536 265.25433:16453 282.28033:3065 283.26349:8428 308.29373:47752 324.293:7183 484.8082:2260 518.52466:8599 534.51886:8586 566.54523:18996,1188882,159311,466379,475496,751450,1493524,1562791,1360272,2250489,8475802,467099,556452,612766,211614,188072
