Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_prep_no_IS_Pos_0uL,Luca140818_lipid_Pos_co_culture_1,Luca140818_lipid_Pos_co_culture_2,Luca140818_lipid_Pos_co_culture_3,Luca140818_lipid_Pos_co_culture_4,Luca140818_lipid_Pos_co_culture_5,Luca140818_lipid_Pos_hela_1,Luca140818_lipid_Pos_hela_2,Luca140818_lipid_Pos_hela_3,Luca140818_lipid_Pos_hela_4,Luca140818_lipid_Pos_hela_5,Luca140818_lipid_Pos_nih_1,Luca140818_lipid_Pos_nih_2,Luca140818_lipid_Pos_nih_3,Luca140818_lipid_Pos_nih_4,Luca140818_lipid_Pos_nih_5
12685,12.181,740.54321,BMP 32:0|BMP 16:0_16:0,[M+NH4]+,ion correlated with 11912; ion correlated with 11911,0.938,True,8.9,740.54358,C38H75O10P,BMP,VYRYWHFIASUNTM-UHFFFAOYSA-N,O=C(OC(CO)COP(=O)(O)OCC(OC(=O)CCCCCCCCCCCCCCC)CO)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,93.3,92,9.3,62.2,100,2582.09,Luca140818_lipid_Pos_nih_2,740.54315:35593328 741.5465:19322378 742.54986:8253462,53.00173:3143 53.03835:3255 55.0175:5035 55.05391:32034 57.03305:4048 57.06944:129528 59.18301:2431 60.0806:3036 60.83237:2355 63.61911:2201 65.0378:3571 67.05368:117120 69.06935:50854 69.2336:2390 69.23797:5245 71.08467:125039 73.04588:29545 79.05367:89084 79.65179:2208 81.06898:131093 83.08454:69369 85.06403:5605 85.10045:73508 86.09581:29450 91.05302:107031 93.03566:3596 93.06881:81880 94.74426:2790 95.04853:12044 95.08452:181654 97.06404:19758 97.10001:29327 98.98328:2640 99.11607:2842 105.04472:3175 105.06917:91141 107.08474:31305 109.10059:70163 111.11605:5727 117.06957:23809 118.07667:2325 119.0848:97978 121.10068:27847 123.07917:2986 123.11678:36513 123.49729:2630 124.99903:14136 129.06874:19741 131.08545:36403 133.10126:56808 135.11668:13262 137.09599:3010 137.13254:10662 143.08414:16567 145.10085:21137 147.11534:19585 149.04402:10655 157.09955:14878 159.11542:4911 161.13152:5041 165.16183:4153 167.05444:85326 171.11676:10991 175.14897:4685 184.07336:100445 185.13231:3494 201.16167:3548 203.18498:33955 223.04213:2429 225.0554:26353 227.03497:3742 239.10709:16204 239.2476:19532 257.25406:2987 267.00339:5156 269.23129:2727 281.05667:3244 282.28082:14976 283.03146:22555 285.01318:12473 299.06027:69402 301.34448:2551 309.28339:2361 311.25851:5143 312.42334:2905 313.2735:150133 330.27417:13683 342.99698:6228 344.97543:29697 359.02304:20024 367.28131:11345 599.50079:17844 739.7514:3097,12522,56566288,54663332,70673968,79277032,59305744,52999420,52995236,81878976,88907864,93809272,26564464,35593328,30502638,35690064,27339520
15655,9.935,884.54041,BMP 44:12|BMP 22:6_22:6,[M+NH4]+,adduct linked to 15432_[M+H]+; adduct linked to 15719_[M+Na]+,0.875,True,7.78,884.54358,C50H75O10P,BMP,FMHFZIDTIQEZJJ-UHFFFAOYSA-N,O=C(OC(CO)COP(=O)(O)OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)CO)CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,True,True,True,,False,False,null,null,94.2,96.4,18.5,62.2,100,188.52,Luca140818_lipid_Pos_co_culture_1,884.54303:1398435 885.54638:769731 886.54974:0,65.24527:2589 67.05369:22548 69.0694:2504 79.05378:25014 81.06911:21351 84.46516:2462 91.05267:30777 93.0688:22255 95.04853:4817 95.08458:11076 105.06928:23651 105.74365:2387 107.08479:9226 109.10067:2700 117.06934:13077 119.08491:15851 121.10093:3043 129.07011:3111 131.08542:11124 133.10147:3011 143.08414:3827 145.10049:4779 145.95477:2572 147.11575:2967 159.11542:2792 173.13054:2932 191.25352:2973 222.45245:2858 253.49162:2591 385.26831:28353 545.37671:2674 545.4613:3012 551.83655:2664 564.18732:2913,0,1398435,2248820,1600916,2312564,1896818,483875,331385,539193,1127513,1055772,2709029,3103330,3083543,3022326,2490894
5273,5.297,372.30865,CAR 14:0,[M+H]+,,0.812,True,5.58,372.31079,C21H41NO4,CAR,PSHXNVGSVNEJBD-UHFFFAOYSA-N,O=C([O-])CC(OC(=O)CCCCCCCCCCCCC)C[N+](C)(C)C,410,True,True,True,,False,False,null,null,100,99.9,26.3,58.3,100,25.48,Luca140818_lipid_Pos_hela_2,372.30823:1805428 373.31158:550132 374.31494:296998,57.03307:2533 57.06945:9361 60.08018:17028 68.93839:2916 69.06943:2424 71.08471:8283 73.04597:9896 78.61815:2127 85.02755:258822 85.10054:2683 86.03075:6227 91.05633:31249 92.05602:2543 95.08462:7782 101.0584:10930 102.06226:2107 109.10072:3445 111.04279:3239 129.05347:7322 144.10103:3738 147.06334:2642 211.21208:1980 268.26971:14376 269.2731:57371 270.27783:3484 285.01328:3156 286.01544:8220 287.00909:3706 313.23697:2897 372.30612:21863,875417,1776932,1948917,3194893,3225425,3299993,2012790,1805428,1731176,1593427,1651876,2243897,3491314,2860315,2790526,2704952
5816,6.577,400.34097,CAR 16:0,[M+H]+,similar chromatogram in higher mz_8963,0.938,True,6.08,400.3421,C23H45NO4,CAR,XOMRRQXKHMYMOC-UHFFFAOYSA-N,O=C([O-])CC(OC(=O)CCCCCCCCCCCCCCC)C[N+](C)(C)C,410,True,True,True,,False,False,null,null,100,99.8,49.8,59.2,100,492.21,Luca140818_lipid_Pos_nih_5,400.34106:7292021 401.34441:2311380 402.34777:669536,51.36536:1531 57.06943:2721 60.08023:15439 69.08411:1781 69.23469:2248 71.08469:1797 81.069:1677 83.08467:2283 85.02762:242905 86.03072:6487 91.05633:1741 95.08459:2216 104.12438:1556 109.10068:2704 144.10098:4071 160.20619:1653 239.24744:1709 283.26862:3254 301.93088:1779 341.26221:3132 344.97589:2965 400.34018:21308,25196,5422893,5307008,11717121,10417089,12646901,6901450,5360884,5319170,5855978,8192462,6430846,9490734,8514170,7361745,7292021
5775,5.639,398.32382,CAR 16:1,[M+H]+,,0.938,True,5.52,398.32651,C23H43NO4,CAR,JFAGPSOZZSTLRF-UHFFFAOYSA-N,O=C([O-])CC(OC(=O)CCCCCCCC=CCCCCCC)C[N+](C)(C)C,410,True,True,True,,False,False,null,null,100,100,48.2,61,100,160.24,Luca140818_lipid_Pos_nih_3,398.32416:1905944 399.32751:519034 400.33087:418075,55.05391:1585 57.06944:4322 58.00376:1869 60.08024:12608 69.23141:2195 72.23548:1680 83.08468:6533 85.02763:137493 95.08459:2070 97.10029:2086 98.98329:1746 101.09501:2567 107.0848:3565 109.09961:1793 121.10094:1999 135.11522:2812 270.75467:1700 398.32834:13272,16521,1393299,1446500,2890106,2832716,2919654,4225156,2578702,2599904,2710881,3357492,1331726,2030065,1905944,1755872,1905210
6357,6.8,426.35574,CAR 18:1,[M+H]+,,0.938,True,6.25,426.35779,C25H47NO4,CAR,IPOLTUVFXFHAHI-UHFFFAOYSA-N,O=C([O-])CC(OC(=O)CCCCCCCC=CCCCCCCCC)C[N+](C)(C)C,410,True,True,True,,False,False,null,null,100,99.8,50.9,59.6,100,292.41,Luca140818_lipid_Pos_nih_5,426.35577:5621646 427.35912:1997053 428.36248:298218,52.35115:1919 52.72901:1712 57.03305:1758 60.08023:21910 64.42229:1572 69.06886:2284 81.069:4054 85.02759:242461 86.03072:2239 95.08459:3036 97.10028:2470 97.92139:7386 112.38226:1614 141.6431:1631 144.10098:10576 226.26468:2019 227.03499:2879 296.8793:1813 339.00113:1793 400.1937:1674 426.35483:21317,0,2381866,2450390,5125530,4415644,5315274,4207727,3024976,3372236,3338292,5173970,4096378,7006699,6316854,5381832,5621646
10642,15.578,642.61139,CE 16:0,[M+NH4]+,ion correlated with 19668; adduct linked to 10724_[M+Na]+; similar chromatogram in higher mz_21678; similar chromatogram in higher mz_21680,0.875,True,14.78,642.61841,C43H76O2,CE,BBJQPKLGPMQWBU-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCCCCCCCCC,410,True,True,True,,False,False,null,null,89.2,99.5,20.1,69.9,100,9940.83,Luca140818_lipid_Pos_co_culture_4,642.6145:1169916 643.61785:646171 644.62121:0,50.00793:2139 54.30108:1719 57.06942:2183 71.08468:2421 77.7239:2015 81.06899:3256 83.08466:2628 90.45272:1761 95.08458:1932 109.09959:3018 135.11668:2695 136.38011:2042 147.11574:2760 187.22627:2190 227.08365:2103 369.35312:4083 603.86737:2210,0,460149,1024798,590737,1169916,560455,1631057,1895342,1336687,1162553,994813,203661,297598,32731,60140,74442
10609,15.212,640.59967,CE 16:1,[M+NH4]+,adduct linked to 10261_[M+H]+; adduct linked to 10692_[M+Na]+,0.75,True,14.31,640.60272,C43H74O2,CE,HODJWNWCVNUPAQ-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCC=CCCCCCC,410,True,True,True,,False,False,null,null,95.2,99.4,13.3,70,100,63.04,Luca140818_lipid_Pos_co_culture_2,640.60229:1058397 641.60564:1028802 642.609:324461,54.34438:1841 71.08469:2148 75.24033:2327 81.06899:5147 82.7852:2027 83.08467:3403 88.2261:1773 95.08458:4320 104.02266:1900 135.01842:2001 135.11668:3607 138.54631:2149 142.75676:2283 147.11575:4072 224.1553:2119 227.99524:2911 228.0181:3471 369.34641:3523 545.40088:2411,0,851607,1058397,820178,1072929,1382139,2615493,3890006,4757120,6296136,3339595,6852,323342,317941,67797,68811
10855,15.366,654.61279,CE 17:1,[M+NH4]+,ion correlated with 19694; ion correlated with 17240; ion correlated with 16560,0.75,True,14.57,654.61841,C44H76O2,CE,RLMIGWIAENJHMP-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCC=CCCCCCCC,410,True,True,True,,False,False,null,null,93.3,99.5,8.7,69.6,100,4114.08,Luca140818_lipid_Pos_hela_1,654.61658:612452 655.61993:629403 656.62329:0,56.23464:1951 68.57928:2267 69.23745:2190 77.13641:1891 91.05636:2665 93.98089:1890 95.08463:2057 95.90875:2436 105.06927:2486 109.09964:2324 117.56116:2255 142.81023:2066 147.11581:4439 161.13159:2159 167.0545:2427 168.91318:2222 337.0202:2270 345.8895:2414 351.94162:2523 369.34656:2743 370.9407:2093 581.22906:2943,0,316545,441290,231749,454289,249188,612452,958770,668665,990139,851590,75341,0,39029,70412,0
11065,15.254,666.6123,CE 18:2,[M+NH4]+,adduct linked to 10759_[M+H]+; adduct linked to 11187_[M+Na]+; adduct linked to 10447_[M+H-H2O]+,0.938,True,14.51,666.61841,C45H76O2,CE,NAACPBBQTFFYQB-UHFFFAOYSA-N,O=C(OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1)CCCCCCCC=CCC=CCCCCC,410,True,True,True,,False,False,null,null,82.6,99.6,15.7,69.4,100,107178.07,Luca140818_lipid_Pos_co_culture_3,666.61255:6837608 667.6159:6242695 668.61926:1406899,57.06942:3744 67.0537:4194 67.48125:1997 69.0694:3625 73.04594:4687 73.06786:2198 75.90714:2209 81.0688:18402 83.08466:11013 85.10051:2481 88.75356:1967 91.05653:33951 93.06886:3366 95.08455:20080 96.81049:1766 97.10027:8443 105.06923:5014 107.08478:10872 109.10049:21769 114.52239:2594 119.08491:4989 121.09966:4152 123.11543:9314 124.03428:2098 133.10146:11436 135.11687:18304 137.13254:2486 147.11574:32877 149.13208:8158 161.13129:22866 163.14664:3688 167.05467:21404 175.14676:13531 189.16335:3243 201.16165:3482 215.18929:3182 221.06793:2450 225.05568:4714 227.17456:2843 243.21819:4516 257.2345:2616 259.24734:3703 287.27667:2299 369.34799:27603 546.64746:2198,0,6929956,7655961,6837608,11506704,9760936,11879418,13873564,14795589,21942696,15919457,3588560,2607538,2209805,2719234,1914063
