Cell Index,UMAP X,UMAP Y,"Cell type label (HeLa, 0; NIH3T3, 1)",C10H14N5O7P - AMP,C10H17N3O6S - Glutathione,C11H11ClN2O2 - C11H11ClN2O2,C16H30O2 - 4 possible acid,C18H13NO4 - C18H13NO4,C18H32O2 - Linoleic acid,C18H34O2 - Oleic acid,C18H36O2 - 3 possible FA,C19H37O6P - C19H37O6P,C19H37O7P - C19H37O7P,C19H39O7P - LPA(16:0),C20H30O2 - EPA,C20H32O2 - Arachidonic,C20H34O2 - ETrE,C21H37O6P - CPA(18:2),C21H39O6P - CPA(18:1),C21H39O7P - LPA(18:2),C21H41O6P - C21H41O6P,C21H41O7P - LPA(18:1)/DHAP(18:0),C21H43O7P - LPA(18:0),C21H44NO6P - C21H44NO6P,C21H44NO7P - LPE(16:0),C22H30N2O5 - C22H28N2O5,C22H32O2 - DHA,C22H34O2 - DPA,C23H43O7P - C23H43O7P,C23H46NO7P - LPE(18:1),C23H48NO7P - LPE(18:0),C25H44NO7P - LPE(20:4),C25H50NO7P - LPE(20:1),C27H44NO7P - C27H44NO7P,C27H46NO7P - C27H46NO7P,C27H48NO7P - C27H48NO7P,C27H51O12P - PI(18:1),C27H53O12P - PI(18:0),C29H49O12P - PI(20:4),C30H39N3O7 - C30H39N3O7,C34H68NO6P - C34H68NO6P,C35H67O8P - PA(32:1),C35H69O8P - C35H69O8P,C36H69O8P - PA(33:1),C37H69O8P - PA(34:2),C37H71O8P - PA(34:1),C37H74NO8P - PE(32:0),C38H71O8P - C38H71O8P,C38H73O8P - PA(35:1),C39H69O8P - PA(36:4),C39H71O8P - PA(36:3),C39H73O8P - PA(36:2),C39H74NO8P - PE(34:2),C39H75O8P - C39H75O8P,C39H76NO8P - PE(34:1),C40H76NO10P - PS(34:1),C40H77O10P - PG(34:1),C40H78NO8P - PC(32:1),C41H71O8P - PA(38:4)(2-),C41H73O8P - PA(38:4),C41H74NO7P - C41H74NO7P,C41H74NO8P - PE(36:4),C41H75O8P - C41H75O8P,C41H78NO8P - PE(36:2),C41H80NO8P - PE(36:1),C42H80NO10P - PS(36:1),C42H82NO6P - CerP(d18:1/24:0),C43H73O8P - PA(40:6),C43H75O8P - PA(40:4),C43H76NO7P - PE(38:5),C43H76NO8P - PE(38:5),C43H78NO7P - C43H78NO7P,C43H78NO8P - PE(38:4),C43H79O13P - PI(34:2),C43H81O13P - PI(34:1),C43H82NO8P - PE(38:2),C44H78NO10P - PS(38:4),C44H84NO6P - C44H84NO6P,C45H78NO8P - PE(40:6),C45H79O13P - PI(36:4),C45H80NO8P - PE(40:5),C45H81O13P - PI(36:3),C45H82NO8P - PE(40:4),C47H81O13P - PI(38:5),C47H85O13P - PI(38:3),C5H14NO6P - Glycerylphosphorylethanolamine,C6H11O8P - Inositol cyclic phosphate,C6H13O7P - Mevalonic acid-5P,C6H13O9P - Hexose-phosphate,C6H14NO7P - C6H14NO7P,C9H19O11P - C9H19O11P
0,-3.5928411,7.2787333,1,4.38613891601562,0,9.62825202941894,5.48878002166748,0,4.2231707572937,6.99654483795166,6.8509464263916,7.08391952514648,4.61103105545043,5.67640352249145,4.03203296661376,6.45203590393066,4.2083888053894,4.48029613494873,6.54017496109008,4.04339075088501,6.8955225944519,5.55306529998779,4.58077096939086,0,0,0,5.37185382843017,5.51870775222778,0,5.71227169036865,5.8840742111206,5.45201015472412,4.28275108337402,4.54775285720825,4.36322927474975,0,4.6093521118164,5.84638166427612,0,0,5.60010290145874,5.13773870468139,5.31628465652465,4.2503604888916,4.73512077331543,6.47113847732543,5.6657600402832,4.18138980865478,0,0,4.5478024482727,5.92003917694091,0,5.48080539703369,6.29587411880493,0,0,4.33798503875732,0,5.39457416534423,4.33677530288696,5.34863901138305,4.43959951400756,5.63953208923339,6.55842399597168,4.35448217391967,4.48671674728393,0,0,4.56037187576293,5.40265130996704,4.46188068389892,6.38056230545043,0,6.00646162033081,5.11904859542846,4.66721868515014,0,0,4.58813190460205,0,0,0,0,0,5.75017356872558,7.90412664413452,4.33567333221435,6.81359958648681,5.35581731796264,5.25826597213745
1,-2.1747215,10.282733,1,5.76848459243774,5.08550834655761,9.49876308441162,5.62845993041992,5.08550834655761,4.43702888488769,6.9263596534729,6.3771162033081,7.10218906402587,4.36208820343017,5.59776782989501,0,6.40067148208618,0,4.195809841156,6.51495170593261,0,6.81304216384887,5.65310478210449,4.33606147766113,3.97097826004028,5.12208366394043,3.7781867980957,5.17593145370483,4.89682579040527,0,5.56978797912597,5.7646460533142,5.23579311370849,4.25567865371704,3.89574909210205,3.98761963844299,0,4.4378023147583,5.9392409324646,0,0,5.4092149734497,5.62778663635253,5.17059898376464,3.87641406059265,5.54096317291259,6.3893871307373,5.46036052703857,0,0,3.9496009349823,4.71351146697998,6.18894863128662,3.89706015586853,5.45268011093139,6.08999967575073,4.24495935440063,5.19457817077636,3.85053706169128,4.37732553482055,5.34537315368652,4.27957725524902,4.94058561325073,0,5.86276578903198,6.65174102783203,5.48575353622436,4.9046082496643,0,0,0,5.08052444458007,3.76909089088439,6.18167686462402,5.2123908996582,6.32270717620849,5.1388521194458,0,0,0,0,0,0,3.73242020606994,5.81061029434204,5.67557668685913,6.02416372299194,8.01332378387451,4.92769241333007,7.17122507095336,5.64084196090698,5.55185890197753
2,0.05859048,9.729862,1,5.29350185394287,3.65913224220275,9.44771099090576,5.99897861480712,3.65913224220275,4.27042198181152,7.01477575302124,6.8991961479187,6.86736583709716,4.40115785598754,5.51728296279907,4.47483587265014,6.52363729476928,5.07412147521972,4.01913118362426,6.72676563262939,4.38062191009521,6.80203580856323,5.55140352249145,4.99102020263671,3.95236349105834,4.24087285995483,0,5.21013832092285,4.49861860275268,3.95869660377502,5.37517690658569,5.81243896484375,5.76650667190551,5.37305164337158,4.48170566558837,0,0,4.48054265975952,5.89310216903686,0,4.33396911621093,5.44380235671997,5.76612854003906,5.02917098999023,0,5.50040531158447,6.37916851043701,5.20814800262451,3.99205470085144,4.0982608795166,0,4.29741096496582,5.8701467514038,4.20371866226196,5.29178428649902,5.8908200263977,0,5.53237152099609,0,3.93115973472595,5.24248075485229,4.08734989166259,5.0163779258728,0,6.17918968200683,6.31283473968505,4.85682439804077,4.42161893844604,0,0,0,5.63652753829956,0,6.44856071472168,4.35224819183349,6.42678928375244,5.47598505020141,0,4.08443737030029,4.40135383605957,4.95423746109008,0,3.94861936569213,0,0,6.2556128501892,6.07278490066528,8.03693103790283,4.0286545753479,7.2552170753479,5.28012895584106,5.91658544540405
3,-1.5264461,3.9033172,1,5.65163707733154,3.81931567192077,9.5233449935913,5.81305360794067,0,4.07350730895996,6.9726505279541,6.78122949600219,6.35601329803466,4.00747489929199,5.06331348419189,3.87875771522521,6.50341129302978,3.78475165367126,4.89315319061279,6.60667037963867,3.82434391975402,6.76427030563354,5.85376024246215,5.1612639427185,4.25874996185302,4.12342309951782,0,4.20681762695312,4.83563041687011,4.10253620147705,5.69750833511352,5.69424867630004,5.94709205627441,5.54948377609252,0,4.82186365127563,3.77001619338989,5.2302451133728,6.1467638015747,4.14106035232543,4.29319667816162,0,5.52240467071533,4.8260817527771,4.0924277305603,5.1064109802246,6.11064291000366,4.24932956695556,3.97379231452941,4.8650631904602,0,4.71272945404052,5.45938920974731,3.76062107086181,5.23413562774658,5.82384347915649,4.27940607070922,5.11752080917358,0,4.16761827468872,4.98509311676025,5.47091436386108,0,4.01241636276245,5.57869625091552,6.40791988372802,5.23450660705566,5.0781512260437,3.62319278717041,3.67133903503417,4.16675186157226,5.30269432067871,3.59431052207946,5.96445131301879,3.78120589256286,6.74210357666015,4.89156532287597,0,4.86979341506958,4.11059188842773,4.17674016952514,3.95529532432556,4.93109846115112,4.82150650024414,5.87288427352905,0,6.38478136062622,8.06797409057617,4.02029514312744,7.19093656539917,4.89754247665405,5.73349046707153
4,-1.2010784,-0.19227469,0,5.37055873870849,0,9.1459732055664,5.75058269500732,0,3.88382697105407,7.19988775253295,6.97117900848388,6.91321516036987,4.16247034072876,5.61970615386962,4.92511463165283,6.84619712829589,4.90794658660888,5.44157934188842,6.89618825912475,0,7.16564416885376,6.01895999908447,5.89037609100341,4.89951181411743,4.4056077003479,4.88984251022338,5.86220026016235,5.40772247314453,0,5.50385856628418,6.35611867904663,5.60092592239379,4.05872011184692,4.40071725845336,4.12252569198608,0,5.04338216781616,6.40449666976928,4.41602373123168,4.99874782562255,5.89795064926147,5.30636358261108,5.61152839660644,3.651620388031,5.20871019363403,6.47740316390991,5.01337432861328,3.84815382957458,4.42381620407104,3.96367073059082,5.34093427658081,5.72200775146484,0,5.70679712295532,5.9282169342041,0,5.54834699630737,4.09738636016845,4.04423475265502,5.0270037651062,5.38145685195922,4.14716386795043,3.98803043365478,5.53298425674438,6.80623292922973,5.17079019546508,4.94818401336669,5.10920667648315,4.40681505203247,4.40814113616943,5.63798236846923,4.96789932250976,6.51036262512207,4.34631061553955,4.96373844146728,5.08806943893432,4.86043119430542,0,5.50492620468139,5.78447246551513,4.90377950668335,3.83738756179809,4.95681476593017,6.37059926986694,5.70762538909912,6.05938816070556,7.82307815551757,5.71059608459472,6.86267328262329,5.26174545288085,5.38237142562866
5,15.002254,8.749645,0,4.64585018157959,0,9.57601547241211,5.91023063659668,0,4.546067237854,6.91956424713134,7.13448429107666,7.39339876174926,0,5.874755859375,0,6.38092613220214,0,4.70493412017822,6.9210729598999,0,7.13494968414306,5.91555643081665,5.81464624404907,0,0,0,5.37469911575317,4.87491703033447,0,5.12731647491455,6.68525171279907,0,4.59516286849975,0,0,0,0,6.45178937911987,0,0,6.23787212371826,5.862229347229,6.67046165466308,4.99507570266723,5.24301099777221,6.77520132064819,5.73352861404418,0,0,0,0,5.89142847061157,0,4.96611499786376,5.20756340026855,0,4.76099395751953,0,0,0,0,0,0,0,6.04390668869018,0,0,0,0,0,0,0,6.31903409957885,0,0,0,0,0,4.73105096817016,0,5.11721563339233,0,0,0,0,6.50086212158203,7.77937173843383,5.8631272315979,6.84171056747436,5.9224247932434,5.85054588317871
6,5.6297164,4.1267195,0,3.66956949234008,0,9.36147308349609,6.41141319274902,0,3.50683712959289,6.76456832885742,7.23974323272705,7.38901662826538,4.12028980255126,5.84139585494995,3.82886385917663,6.58342218399047,4.35150098800659,4.39428806304931,6.90636110305786,4.27913856506347,7.09098482131958,5.70070743560791,5.90318155288696,0,4.38816022872924,4.26405143737793,5.80686426162719,4.7218632698059,0,4.66098833084106,6.12115335464477,4.62380695343017,3.98320531845092,0,4.03166532516479,0,4.58986330032348,6.55404186248779,4.09627199172973,0,6.24369525909423,5.5456371307373,6.08567333221435,4.66242980957031,5.42620611190795,6.98691797256469,5.87176084518432,0,3.8412160873413,0,3.96721935272216,5.83574295043945,3.91650104522705,4.18296003341674,6.18775510787963,0,4.09663963317871,0,4.38034486770629,4.90092134475708,0,0,0,4.85118675231933,6.68623065948486,0,0,4.66098308563232,4.70008707046508,4.06110858917236,5.00327825546264,0,6.32567882537841,0,0,0,0,0,4.24999666213989,0,3.62250757217407,0,0,6.09112644195556,5.39269018173217,6.32069492340087,8.0295877456665,5.36683940887451,7.0744948387146,5.66476821899414,5.68508529663085
7,-3.2327578,9.8118,1,0,0,9.65884494781494,5.51008605957031,0,5.32919406890869,6.79155969619751,6.56816864013671,6.42501163482666,0,5.70358085632324,4.42698383331298,6.50646257400512,0,0,6.40524911880493,0,6.80751228332519,5.89183759689331,4.44734191894531,4.17094659805297,4.39503288269043,0,5.53941297531127,0,0,5.59353685379028,6.29334831237793,5.63118171691894,4.45698022842407,0,0,0,5.05971145629882,6.06503677368164,4.16076469421386,4.14334201812744,4.31463241577148,4.71876430511474,4.55998706817626,4.54595518112182,5.81294107437133,5.94576168060302,5.41356134414672,0,0,4.67637872695922,4.11774206161499,6.07097339630126,4.26074981689453,4.58135509490966,6.22343015670776,0,0,4.23256301879882,0,4.75265169143676,4.5439109802246,4.38601779937744,4.54713296890258,6.21065235137939,6.71279859542846,4.53793287277221,0,0,0,4.40528011322021,5.72256851196289,4.50092649459838,6.40482234954834,5.12479352951049,6.18740797042846,4.32902956008911,0,0,4.77712440490722,4.28366947174072,4.1635046005249,0,0,6.12202501296997,0,6.02081632614135,7.89998245239257,4.32697629928588,6.96688890457153,5.38163661956787,5.26893424987793
8,13.355182,9.834185,0,0,0,9.6248025894165,6.19272375106811,0,0,7.12349462509155,7.42241764068603,7.13494253158569,5.05896997451782,5.14375925064086,0,6.33826828002929,5.1220736503601,0,6.85173606872558,0,7.08857011795043,4.98073148727417,5.30255270004272,0,4.77006149291992,0,0,0,0,4.55946493148803,6.11821413040161,4.78573083877563,0,0,0,0,4.46124982833862,5.07830190658569,0,4.69476127624511,6.61357879638671,0,5.78543043136596,0,5.14946508407592,6.61574220657348,5.22031164169311,0,4.82204675674438,0,0,6.14603948593139,0,4.76838827133178,6.07494926452636,0,0,0,0,4.64123106002807,0,0,0,5.72752475738525,6.69574213027954,4.66924905776977,0,0,4.81008863449096,0,5.27053451538085,0,6.30222463607788,0,0,0,0,0,0,4.77082920074462,0,0,0,6.58365201950073,5.23209762573242,6.55203485488891,7.78408050537109,5.9059100151062,6.63389158248901,0,0
9,-1.5997978,4.699728,0,0,0,9.71300888061523,5.44413566589355,0,4.364670753479,6.89140653610229,6.40264558792114,6.83560705184936,0,4.48323822021484,3.85112977027893,6.62236499786376,0,4.28810405731201,6.6523699760437,4.05366277694702,6.78522443771362,5.51533889770507,5.69600105285644,0,4.24358987808227,3.83057236671447,5.27528524398803,4.54237174987793,3.97066020965576,5.17249345779418,6.11038398742675,5.34705352783203,3.80138778686523,0,0,0,4.25582265853881,5.93083047866821,0,3.87138843536376,5.27186393737793,5.24739742279052,5.46448802947998,0,5.64017248153686,6.31157207489013,5.10068464279174,4.29670238494873,4.25527381896972,0,4.45756769180297,5.97543334960937,4.59512996673584,0,6.10348033905029,0,5.59722661972045,0,4.51006746292114,4.34088468551635,5.06832599639892,0,0,5.80168771743774,6.3193564414978,0,3.97352409362792,3.90895867347717,4.21680259704589,4.39537382125854,5.45947694778442,4.98597288131713,6.28173542022705,3.90940952301025,6.23744344711303,0,0,0,4.22660732269287,5.20583152770996,0,4.43563318252563,0,0,0,5.47440147399902,7.89244985580444,3.9583294391632,6.94256210327148,5.56920337677001,5.55835437774658
